question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,topic,source
Quelle requête compte les commandes payées ?,SELECT COUNT(*) FROM orders WHERE paid = true,SELECT SUM(*) FROM orders WHERE paid = true,SELECT COUNT(paid = true) FROM orders always,SELECT paid COUNT FROM orders,SQL,medium,sql_aggregates,Web Dev & IA Quiz
Quelle fonction peut trouver la commande la plus chère ?,MAX(total),TOP(total),ORDER(total),COUNT(total),SQL,easy,sql_aggregates,Web Dev & IA Quiz
Quelle fonction peut trouver la commande la moins chère ?,MIN(total),LOW(total),FIRST(total),LIMIT(total),SQL,easy,sql_aggregates,Web Dev & IA Quiz
Quel mot-clé regroupe des lignes selon une colonne ?,GROUP BY,ORDER BY,WHERE,JOIN,SQL,easy,sql_group_by_having,Web Dev & IA Quiz
Quelle requête compte les utilisateurs par ville ?,"SELECT city, COUNT(*) FROM users GROUP BY city","SELECT city, COUNT(*) FROM users ORDER BY city",SELECT city FROM users COUNT BY city,GROUP users BY city COUNT,SQL,easy,sql_group_by_having,Web Dev & IA Quiz
Quelle clause filtre les groupes après agrégation ?,HAVING,WHERE,FILTER,AFTER GROUP,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quelle différence principale existe entre WHERE et HAVING ?,"WHERE filtre avant agrégation, HAVING filtre les groupes",HAVING remplace toujours WHERE,WHERE filtre uniquement les groupes,Ils sont identiques,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quelle requête garde les villes avec plus de 10 utilisateurs ?,"SELECT city, COUNT(*) FROM users GROUP BY city HAVING COUNT(*) > 10","SELECT city, COUNT(*) FROM users HAVING city > 10",SELECT city FROM users WHERE COUNT(*) > 10 GROUP BY city,"SELECT city, COUNT(*) FROM users GROUP BY city WHERE COUNT(*) > 10",SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Pourquoi une colonne non agrégée doit souvent apparaître dans GROUP BY ?,Pour définir le niveau de regroupement,Pour accélérer SELECT *,Pour éviter les index,Pour créer une clé primaire,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quelle requête calcule le total des ventes par client ?,"SELECT customer_id, SUM(total) FROM orders GROUP BY customer_id","SELECT customer_id, total FROM orders GROUP BY total",SELECT SUM(customer_id) FROM orders GROUP BY total,SELECT customer_id FROM orders SUM total,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quelle fonction est souvent utilisée avec GROUP BY pour compter ?,COUNT,ORDER,LIMIT,DISTINCT ONLY,SQL,easy,sql_group_by_having,Web Dev & IA Quiz
Peut-on grouper par plusieurs colonnes ?,"Oui, avec GROUP BY colonne1, colonne2","Non, une seule colonne maximum","Oui, mais uniquement avec ORDER BY","Non, sauf avec SELECT *",SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quelle requête compte les commandes par statut et ville ?,"SELECT status, city, COUNT(*) FROM orders GROUP BY status, city",SELECT COUNT(*) FROM orders GROUP BY status AND city,"SELECT status, city FROM orders COUNT GROUP","SELECT status + city, COUNT(*) FROM orders",SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Pourquoi GROUP BY réduit souvent le nombre de lignes retournées ?,Il rassemble plusieurs lignes dans un groupe,Il supprime les colonnes automatiquement,Il trie seulement,Il applique LIMIT,SQL,easy,sql_group_by_having,Web Dev & IA Quiz
Quelle clause filtre les lignes avant regroupement ?,WHERE,HAVING,ORDER BY,LIMIT,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quelle clause filtre les groupes après regroupement ?,HAVING,WHERE,ORDER BY,FROM,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Que risque-t-on avec une colonne non groupée et non agrégée ?,Un résultat invalide ou ambigu,Un tri automatique,Une création d'index,Un COUNT automatique,SQL,hard,sql_group_by_having,Web Dev & IA Quiz
Pourquoi GROUP BY est utile pour un dashboard ?,Il résume les données par catégorie,Il rend le HTML plus beau,Il protège contre XSS,Il remplace les routes API,SQL,easy,sql_group_by_having,Web Dev & IA Quiz
Quelle requête trouve les clients ayant dépensé plus de 1000 ?,"SELECT customer_id, SUM(total) FROM orders GROUP BY customer_id HAVING SUM(total) > 1000",SELECT customer_id FROM orders WHERE SUM(total) > 1000,"SELECT customer_id, total FROM orders HAVING total > 1000",SELECT customer_id FROM orders GROUP BY SUM(total > 1000),SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quel ordre d'écriture est correct ?,SELECT ... FROM ... WHERE ... GROUP BY ... HAVING ...,SELECT ... HAVING ... FROM ... WHERE ... GROUP BY ...,FROM ... SELECT ... HAVING ... WHERE ...,GROUP BY ... SELECT ... FROM ...,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Peut-on utiliser ORDER BY après GROUP BY ?,Oui,Non,Seulement sans COUNT,Seulement avec SELECT *,SQL,easy,sql_group_by_having,Web Dev & IA Quiz
Quelle requête trie les villes par nombre d'utilisateurs décroissant ?,"SELECT city, COUNT(*) FROM users GROUP BY city ORDER BY COUNT(*) DESC","SELECT city, COUNT(*) FROM users ORDER BY COUNT(*) DESC GROUP BY city",SELECT city FROM users GROUP BY city DESC,"SELECT city, COUNT(*) FROM users SORT COUNT DESC",SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quel piège existe avec GROUP BY après un JOIN one-to-many ?,Les lignes peuvent être multipliées avant l'agrégation,Le JOIN annule GROUP BY,GROUP BY supprime les clés étrangères,COUNT devient toujours 1,SQL,hard,sql_group_by_having,Web Dev & IA Quiz
Comment compter des valeurs uniques dans un groupe ?,COUNT(DISTINCT colonne),COUNT UNIQUE colonne,DISTINCT COUNT GROUP,COUNT(colonne UNIQUE),SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Pourquoi nommer les agrégats avec AS peut aider ?,Le résultat est plus lisible,Cela crée un index,Cela rend la requête plus sécurisée,Cela remplace HAVING,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quelle requête donne un alias au nombre d'utilisateurs par ville ?,"SELECT city, COUNT(*) AS user_count FROM users GROUP BY city","SELECT city, COUNT(*) user_counted FROM users",SELECT city AS COUNT(*) FROM users GROUP BY city,"SELECT city, user_count FROM users GROUP BY city",SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Quel filtre doit-on utiliser pour garder seulement les groupes dont la moyenne dépasse 15 ?,HAVING AVG(score) > 15,WHERE AVG(score) > 15,ORDER BY AVG(score) > 15,LIMIT AVG(score) 15,SQL,medium,sql_group_by_having,Web Dev & IA Quiz
Pourquoi HAVING COUNT(*) > 0 est souvent inutile ?,Un groupe existant contient déjà au moins une ligne,COUNT(*) ne marche pas dans HAVING,HAVING ne peut pas filtrer COUNT,GROUP BY crée des groupes vides,SQL,hard,sql_group_by_having,Web Dev & IA Quiz
Quel mot-clé combine des données de plusieurs tables ?,JOIN,GROUP BY,ORDER BY,LIMIT,SQL,easy,sql_joins,Web Dev & IA Quiz
Quelle clause définit la condition d'un JOIN ?,ON,WHERE ONLY,WITH,LINK,SQL,easy,sql_joins,Web Dev & IA Quiz
Quel type de JOIN garde uniquement les correspondances ?,INNER JOIN,LEFT JOIN,FULL JOIN,CROSS JOIN,SQL,medium,sql_joins,Web Dev & IA Quiz
Quel type de JOIN garde toutes les lignes de la table de gauche ?,LEFT JOIN,INNER JOIN,RIGHT ONLY,MATCH JOIN,SQL,medium,sql_joins,Web Dev & IA Quiz
Pourquoi utiliser LEFT JOIN ?,Pour garder les lignes de gauche même sans correspondance,Pour supprimer les doublons,Pour forcer une clé primaire,Pour trier les résultats,SQL,medium,sql_joins,Web Dev & IA Quiz
Quelle requête relie users et orders sur user_id ?,SELECT * FROM users JOIN orders ON orders.user_id = users.id,SELECT * FROM users JOIN orders WHERE users = orders,SELECT * FROM users WITH orders ON user_id,SELECT * FROM users + orders,SQL,medium,sql_joins,Web Dev & IA Quiz
Comment trouver les utilisateurs sans commande avec LEFT JOIN ?,LEFT JOIN orders ... WHERE orders.id IS NULL,INNER JOIN orders ... WHERE orders.id IS NULL,JOIN orders ... HAVING users.id IS NULL,WHERE users.orders = 0,SQL,hard,sql_joins,Web Dev & IA Quiz
Quel type de JOIN produit toutes les combinaisons possibles ?,CROSS JOIN,INNER JOIN,LEFT JOIN,NATURAL LIMIT,SQL,hard,sql_joins,Web Dev & IA Quiz
Pourquoi un CROSS JOIN peut être dangereux ?,Il peut générer énormément de lignes,Il supprime les données,Il force un index unique,Il interdit WHERE,SQL,hard,sql_joins,Web Dev & IA Quiz
"Dans orders.user_id = users.id, quelle colonne est souvent la clé étrangère ?",orders.user_id,users.id,orders.id,users.user_id,SQL,medium,sql_joins,Web Dev & IA Quiz
"Dans orders.user_id = users.id, quelle colonne est souvent la clé primaire ?",users.id,orders.user_id,orders.id,users.user_id,SQL,medium,sql_joins,Web Dev & IA Quiz
Pourquoi utiliser des alias de table ?,Pour raccourcir et clarifier la requête,Pour créer une nouvelle table,Pour éviter les index,Pour forcer un LEFT JOIN,SQL,medium,sql_joins,Web Dev & IA Quiz
Quelle syntaxe donne l'alias u à users ?,FROM users u,FROM users AS ONLY u,USERS ALIAS u,FROM users = u,SQL,medium,sql_joins,Web Dev & IA Quiz
Quel problème peut apparaître si deux tables ont une colonne id ?,Ambiguïté si on ne précise pas la table,SQL fusionne les id,La requête devient impossible partout,Les id deviennent NULL,SQL,medium,sql_joins,Web Dev & IA Quiz
Comment éviter l'ambiguïté sur id dans un JOIN ?,Préfixer avec le nom ou l'alias de table,Supprimer la colonne id,Utiliser SELECT * uniquement,Renommer la base,SQL,medium,sql_joins,Web Dev & IA Quiz
Quel JOIN utiliser pour afficher tous les clients et leurs commandes éventuelles ?,LEFT JOIN,INNER JOIN,CROSS JOIN,SELF JOIN only,SQL,medium,sql_joins,Web Dev & IA Quiz
Qu'est-ce qu'un self join ?,Un JOIN d'une table avec elle-même,Un JOIN sans condition,Un JOIN entre deux bases différentes,Un JOIN qui supprime les doublons,SQL,hard,sql_joins,Web Dev & IA Quiz
Quand un self join peut être utile ?,Pour une relation employé-manager dans la même table,Pour trier une seule colonne,Pour remplacer GROUP BY,Pour faire une pagination,SQL,hard,sql_joins,Web Dev & IA Quiz
Pourquoi un JOIN peut multiplier les lignes ?,Une ligne peut correspondre à plusieurs lignes liées,JOIN duplique toujours toutes les tables,SQL ajoute des lignes vides,WHERE est ignoré,SQL,hard,sql_joins,Web Dev & IA Quiz
Quel risque existe avec COUNT(*) après un JOIN one-to-many ?,Compter les lignes liées plutôt que les entités principales,Obtenir toujours zéro,Supprimer les lignes sans relation,Désactiver les index,SQL,hard,sql_joins,Web Dev & IA Quiz
Comment compter les utilisateurs uniques après un JOIN ?,COUNT(DISTINCT users.id),COUNT(users.id UNIQUE),UNIQUE COUNT users.id,COUNT ONLY users.id,SQL,hard,sql_joins,Web Dev & IA Quiz
Quelle différence existe entre condition dans ON et WHERE avec LEFT JOIN ?,WHERE peut supprimer les lignes sans correspondance,Il n'y a jamais de différence,ON est interdit avec LEFT JOIN,WHERE garde toujours toutes les lignes de gauche,SQL,hard,sql_joins,Web Dev & IA Quiz
Pourquoi sélectionner seulement les colonnes utiles dans un JOIN ?,Pour éviter un résultat lourd et ambigu,Pour rendre le JOIN possible,Pour empêcher les erreurs de syntaxe,Pour créer un index,SQL,medium,sql_joins,Web Dev & IA Quiz
Quel type de relation implique souvent une table de jointure ?,Many-to-many,One-to-one uniquement,Une table sans clé primaire,Une colonne texte,SQL,medium,sql_joins,Web Dev & IA Quiz
Pourquoi indexer une clé étrangère utilisée en JOIN ?,Pour améliorer les performances de liaison,Pour empêcher toute suppression,Pour rendre la colonne unique obligatoirement,Pour convertir en JSON,SQL,hard,sql_joins,Web Dev & IA Quiz
Quelle bonne pratique rend un JOIN plus lisible ?,Utiliser des alias clairs et une condition ON explicite,Tout mettre dans SELECT *,Écrire la condition dans le nom de table,Supprimer les espaces,SQL,medium,sql_joins,Web Dev & IA Quiz
Quelle table contient généralement user_id dans une relation orders -> users ?,orders,users,Les deux obligatoirement,Aucune,SQL,easy,sql_joins,Web Dev & IA Quiz
Quelle requête récupère le nom du user et le total de ses orders ?,"SELECT users.name, orders.total FROM users JOIN orders ON orders.user_id = users.id",SELECT users.name + orders.total FROM users orders,"SELECT name, total JOIN users orders",SELECT users JOIN orders SELECT name total,SQL,medium,sql_joins,Web Dev & IA Quiz
"Dans une relation students/courses, quelle table peut servir de jointure ?",enrollments,students_courses_text,links_css,student_ids_only,SQL,medium,sql_joins,Web Dev & IA Quiz
Pourquoi une table de jointure peut avoir ses propres colonnes ?,Pour stocker des informations sur la relation,Pour remplacer les deux tables,Pour éviter les clés étrangères,Pour trier automatiquement,SQL,hard,sql_joins,Web Dev & IA Quiz
Quel JOIN utiliser pour ne garder que les réservations ayant un utilisateur existant ?,INNER JOIN,LEFT JOIN,CROSS JOIN,OUTER NONE,SQL,medium,sql_joins,Web Dev & IA Quiz
Pourquoi un JOIN sans condition peut produire trop de lignes ?,Il peut se comporter comme un produit cartésien,Il applique automatiquement LIMIT,Il filtre tout,Il transforme les NULL en zéro,SQL,hard,sql_joins,Web Dev & IA Quiz
Quelle colonne référence habituellement la table users dans bookings ?,user_id,users_id_list,booking_user_name,id_users_join,SQL,easy,sql_joins,Web Dev & IA Quiz
Quelle clause peut filtrer le résultat après un JOIN ?,WHERE,SELECT ONLY,LIMIT ONLY,FROM ONLY,SQL,easy,sql_joins,Web Dev & IA Quiz
Pourquoi éviter SELECT * dans un JOIN large ?,Des colonnes de plusieurs tables peuvent alourdir et brouiller le résultat,Il rend le JOIN impossible,Il empêche la condition ON,Il supprime les clés étrangères,SQL,medium,sql_joins,Web Dev & IA Quiz
Quel mot-clé ajoute une nouvelle ligne ?,INSERT,CREATE ROW,ADD,PUSH,SQL,easy,sql_writes,Web Dev & IA Quiz
Quelle requête insère un utilisateur nommé Alice ?,INSERT INTO users (name) VALUES ('Alice'),INSERT users name = 'Alice',ADD INTO users ('Alice'),CREATE users WITH name 'Alice',SQL,easy,sql_writes,Web Dev & IA Quiz
Quel mot-clé modifie des lignes existantes ?,UPDATE,CHANGE,MODIFY ROW,SETTABLE,SQL,easy,sql_writes,Web Dev & IA Quiz
Quelle clause évite de modifier toutes les lignes par erreur ?,WHERE,ORDER BY,GROUP BY,LIMIT only,SQL,easy,sql_writes,Web Dev & IA Quiz
Quelle requête change le nom de l'utilisateur 1 ?,UPDATE users SET name = 'Alice' WHERE id = 1,UPDATE users WHERE id = 1 SET name = 'Alice',CHANGE users name 'Alice' id 1,SET users.name = 'Alice' FROM id 1,SQL,medium,sql_writes,Web Dev & IA Quiz
Quel mot-clé supprime des lignes ?,DELETE,DROP,REMOVE,DESTROY,SQL,easy,sql_writes,Web Dev & IA Quiz
Quelle requête supprime l'utilisateur 1 ?,DELETE FROM users WHERE id = 1,DELETE users id = 1,REMOVE FROM users id 1,DROP USER 1,SQL,medium,sql_writes,Web Dev & IA Quiz
Quel risque existe avec UPDATE sans WHERE ?,Modifier toutes les lignes de la table,Créer une nouvelle table,Annuler automatiquement,Transformer les colonnes en texte,SQL,hard,sql_writes,Web Dev & IA Quiz
Quel risque existe avec DELETE sans WHERE ?,Supprimer toutes les lignes de la table,Supprimer la table elle-même seulement,Créer une sauvegarde automatique,Bloquer la base sans changement,SQL,hard,sql_writes,Web Dev & IA Quiz
Quelle différence existe entre DELETE et DROP TABLE ?,"DELETE supprime des lignes, DROP TABLE supprime la table","DELETE supprime la table, DROP supprime les lignes",Les deux sont identiques,DROP TABLE trie les lignes,SQL,medium,sql_writes,Web Dev & IA Quiz
Quelle commande crée une table ?,CREATE TABLE,INSERT TABLE,NEW TABLE,MAKE TABLE,SQL,easy,sql_writes,Web Dev & IA Quiz
Quelle commande supprime une table entière ?,DROP TABLE,DELETE TABLE,REMOVE TABLE,CLEAR TABLE ONLY,SQL,medium,sql_writes,Web Dev & IA Quiz
Quelle commande ajoute une colonne dans beaucoup de SGBD ?,ALTER TABLE ... ADD COLUMN,UPDATE TABLE ... ADD COLUMN,CHANGE TABLE ... NEW COLUMN,INSERT COLUMN INTO,SQL,medium,sql_writes,Web Dev & IA Quiz
Pourquoi utiliser une transaction autour de plusieurs écritures liées ?,Pour valider tout ensemble ou annuler tout ensemble,Pour accélérer toutes les lectures,Pour éviter SELECT,Pour supprimer les contraintes,SQL,hard,sql_writes,Web Dev & IA Quiz
Quel mot-clé valide une transaction ?,COMMIT,SAVE,APPLY,CONFIRM,SQL,medium,sql_writes,Web Dev & IA Quiz
Quel mot-clé annule une transaction ?,ROLLBACK,UNDO,CANCEL,REVERT ALL,SQL,medium,sql_writes,Web Dev & IA Quiz
Pourquoi tester une requête UPDATE avec un SELECT équivalent avant ?,Pour vérifier les lignes ciblées,Pour créer un index,Pour rendre la requête plus courte,Pour remplacer WHERE,SQL,medium,sql_writes,Web Dev & IA Quiz
Quel type d'opération demande une prudence particulière en production ?,DELETE sans sauvegarde ou filtre clair,SELECT avec LIMIT,SELECT COUNT(*),ORDER BY name,SQL,hard,sql_writes,Web Dev & IA Quiz
Pourquoi utiliser des migrations dans une application Rails ?,Pour versionner les changements de schéma,Pour éviter SQL complètement,Pour écrire du CSS,Pour remplacer les validations,SQL,medium,sql_writes,Web Dev & IA Quiz
Quel principe aide à sécuriser les écritures SQL ?,Limiter les droits et filtrer précisément les lignes,Utiliser SELECT *,Éviter les transactions,Supprimer les index,SQL,hard,sql_writes,Web Dev & IA Quiz
Qu'est-ce qu'une clé primaire ?,Un identifiant unique pour une ligne,Une colonne de texte obligatoire,Une clé API,Un index CSS,SQL,easy,sql_constraints_indexes,Web Dev & IA Quiz
Qu'est-ce qu'une clé étrangère ?,Une colonne qui référence une ligne d'une autre table,Une clé de chiffrement,Une colonne toujours unique,Une valeur calculée,SQL,easy,sql_constraints_indexes,Web Dev & IA Quiz
Quelle contrainte empêche une valeur NULL ?,NOT NULL,REQUIRED,PRESENT,NO EMPTY,SQL,easy,sql_constraints_indexes,Web Dev & IA Quiz
Quelle contrainte empêche les doublons sur une colonne ?,UNIQUE,DISTINCT,NO_REPEAT,ONLY_ONE,SQL,easy,sql_constraints_indexes,Web Dev & IA Quiz
Quelle contrainte vérifie une condition sur les valeurs ?,CHECK,VALIDATE,WHERE CONSTRAINT,ASSERT,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi mettre une contrainte NOT NULL en base ?,Pour garantir l'intégrité même hors application,Pour rendre la colonne plus rapide automatiquement,Pour créer un formulaire,Pour remplacer SELECT,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi une validation applicative ne suffit pas toujours ?,D'autres accès ou requêtes concurrentes peuvent contourner l'application,Elle est toujours plus forte que la base,Elle crée automatiquement un index,Elle empêche tous les bugs,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
À quoi sert un index en base de données ?,À accélérer certaines recherches,À stocker des images,À remplacer les clés étrangères,À supprimer les doublons automatiquement,SQL,easy,sql_constraints_indexes,Web Dev & IA Quiz
Quel type de colonne est souvent utile à indexer ?,Une colonne fréquemment utilisée dans WHERE ou JOIN,Une colonne jamais interrogée,Toutes les colonnes texte longues,Une colonne toujours NULL,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi ne pas indexer toutes les colonnes sans réfléchir ?,Les index ont un coût en écriture et stockage,SQL l'interdit,Les index ralentissent toujours les lectures,Les index suppriment les contraintes,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
Quel index peut aider WHERE email = ... ?,Un index sur email,Un index sur created_at uniquement,Un index sur toutes les tables,Un index sur name seulement,SQL,easy,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi un index UNIQUE sur email est utile ?,Il garantit l'unicité au niveau base,Il chiffre les emails,Il accélère uniquement les suppressions,Il remplace les mots de passe,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Qu'est-ce qu'un index composite ?,Un index sur plusieurs colonnes,Un index contenant toutes les tables,Un index qui supprime les NULL,Un index créé par CSS,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Quand un index composite peut être utile ?,Quand des requêtes filtrent souvent sur plusieurs colonnes ensemble,Quand aucune requête n'utilise ces colonnes,Pour remplacer GROUP BY,Pour éviter une clé primaire,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
Quel risque existe avec une clé étrangère sans contrainte réelle ?,Référencer une ligne inexistante,Créer trop d'index,Empêcher les JOIN,Rendre SELECT impossible,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
À quoi sert l'intégrité référentielle ?,À garantir la cohérence des relations entre tables,À trier les résultats,À renommer les colonnes,À faire une pagination,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Que peut faire ON DELETE CASCADE ?,Supprimer automatiquement les lignes dépendantes,Empêcher toutes les suppressions,Créer une sauvegarde,Transformer DELETE en UPDATE,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi ON DELETE CASCADE doit être utilisé avec prudence ?,Il peut supprimer beaucoup de données liées,Il ne fonctionne jamais,Il rend les données publiques,Il désactive les transactions,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
Quelle contrainte garantit qu'un prix est positif ?,CHECK (price >= 0),UNIQUE (price > 0),NOT NULL price positive,WHERE price positive,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi surveiller les index inutilisés ?,Ils peuvent ralentir les écritures et occuper de l'espace,Ils suppriment les données,Ils cassent les SELECT,Ils désactivent les contraintes,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
Quel champ est généralement indexé automatiquement comme clé primaire ?,id,name,email,created_at,SQL,easy,sql_constraints_indexes,Web Dev & IA Quiz
Quelle commande aide souvent à analyser une requête ?,EXPLAIN,DESCRIBE CSS,DEBUG HTML,SHOW RUBY,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi une contrainte en base est importante en équipe ?,Elle protège les données même si plusieurs parties du code écrivent,Elle remplace toute documentation,Elle empêche les migrations,Elle crée les routes,SQL,medium,sql_constraints_indexes,Web Dev & IA Quiz
Qu'est-ce qu'un plan d'exécution ?,La stratégie choisie par la base pour exécuter une requête,La liste des colonnes visibles,Le design de la table,Une migration Rails,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
Pourquoi indexer une colonne très peu sélective peut être moins utile ?,Elle ne réduit pas beaucoup le nombre de lignes à parcourir,Elle est interdite,Elle supprime les valeurs répétées,Elle rend INSERT impossible,SQL,hard,sql_constraints_indexes,Web Dev & IA Quiz
Quelle valeur représente une absence de donnée en SQL ?,NULL,nil,undefined,empty,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Quel test correct vérifie une valeur NULL ?,IS NULL,= NULL,== NULL,NULL?,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Quel test correct vérifie une valeur non NULL ?,IS NOT NULL,!= NULL,NOTNULL(),<> NULL,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Pourquoi = NULL ne fonctionne pas comme attendu ?,NULL représente une valeur inconnue et se teste avec IS NULL,NULL est une chaîne,SQL convertit NULL en 0,NULL est toujours false,SQL,hard,sql_null_dates,Web Dev & IA Quiz
Quel type de colonne peut stocker true ou false ?,BOOLEAN,BINARY ONLY,TRUTH,FLAGTEXT,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Quelle requête récupère les utilisateurs actifs ? (null dates),SELECT * FROM users WHERE active = true,SELECT * FROM users WHERE active IS active,SELECT * FROM users WHERE active = 'yes' toujours,SELECT active FROM users ONLY,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Pourquoi une colonne booléenne nullable peut être ambiguë ?,"Elle peut contenir true, false ou NULL",Elle ne peut contenir que true,Elle devient automatiquement texte,Elle empêche les index,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Quelle colonne est souvent utilisée pour une date de création ?,created_at,creation_date_only,made_on,inserted,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Quelle colonne est souvent utilisée pour une date de mise à jour ?,updated_at,changed,modified_only,last_save,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Quelle requête filtre les lignes créées après une date ?,SELECT * FROM users WHERE created_at > '2024-01-01',SELECT * FROM users AFTER '2024-01-01',SELECT * FROM users WHERE created_at SINCE '2024-01-01',SELECT * FROM users DATE created_at > 2024,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Quelle requête trie les plus récents en premier ?,ORDER BY created_at DESC,ORDER BY created_at ASC,WHERE created_at DESC,GROUP BY created_at DESC,SQL,easy,sql_null_dates,Web Dev & IA Quiz
Pourquoi stocker les dates dans un vrai type date/time ?,Pour filtrer et trier correctement,Pour rendre le texte plus joli,Pour éviter les index,Pour convertir en booléen,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Quel piège existe avec les fuseaux horaires ?,Un même moment peut s'afficher différemment selon la timezone,SQL ignore toujours les fuseaux,Les fuseaux ne concernent que CSS,Les dates deviennent NULL,SQL,hard,sql_null_dates,Web Dev & IA Quiz
Que fait COALESCE ?,Retourne la première valeur non NULL,Supprime les NULL de la table,Compte les NULL,Transforme NULL en false toujours,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Quelle expression affiche 'Inconnu' si name est NULL ?,"COALESCE(name, 'Inconnu')",name OR 'Inconnu',DEFAULT name 'Inconnu',IFNULLONLY name,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Pourquoi COUNT(colonne) peut différer de COUNT(*) ?,COUNT(colonne) ignore souvent les NULL,COUNT(*) ignore les NULL,COUNT(colonne) compte les colonnes,Ils sont toujours identiques,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Quelle requête trouve les commandes sans paiement associé ?,SELECT * FROM orders WHERE payment_id IS NULL,SELECT * FROM orders WHERE payment_id = NULL,SELECT * FROM orders WITHOUT payment_id,SELECT * FROM orders WHERE payment_id empty,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Pourquoi éviter de mélanger chaînes vides et NULL sans convention ?,Cela rend les filtres et la logique moins clairs,SQL l'interdit,Les chaînes vides deviennent toujours 0,NULL devient automatiquement texte,SQL,hard,sql_null_dates,Web Dev & IA Quiz
Quelle bonne pratique aide avec les booléens ?,Définir une valeur par défaut si le métier le permet,Laisser toujours NULL,Stocker true/false en texte libre,Utiliser trois colonnes,SQL,medium,sql_null_dates,Web Dev & IA Quiz
Quel problème peut survenir si une date est stockée en texte ?,Le tri ou filtre peut être incorrect selon le format,SQL refuse tout texte,Les dates sont toujours justes,Le texte devient automatiquement timestamp,SQL,hard,sql_null_dates,Web Dev & IA Quiz
Quelle attaque consiste à injecter du SQL dans une entrée utilisateur ?,Injection SQL,Cross-Site Scripting,CSRF,Brute force CSS,SQL,easy,sql_security_perf,Web Dev & IA Quiz
Quelle pratique réduit le risque d'injection SQL ?,Utiliser des paramètres préparés,Concaténer directement les entrées,Désactiver WHERE,Utiliser SELECT *,SQL,easy,sql_security_perf,Web Dev & IA Quiz
Pourquoi éviter de concaténer du texte utilisateur dans une requête ?,Cela peut permettre une injection SQL,Cela ralentit toujours SELECT,Cela empêche les JOIN,Cela supprime les index,SQL,medium,sql_security_perf,Web Dev & IA Quiz
Quel principe limite les dégâts si un compte base est compromis ?,Principe du moindre privilège,Principe du SELECT *,Principe du tri décroissant,Principe du NULL partout,SQL,medium,sql_security_perf,Web Dev & IA Quiz
Pourquoi ne pas donner tous les droits SQL à l'application ?,Pour limiter les actions possibles en cas de faille,Pour accélérer les requêtes,Pour éviter les migrations,Pour permettre les injections,SQL,hard,sql_security_perf,Web Dev & IA Quiz
Quel outil aide à comprendre une requête lente ?,EXPLAIN,SELECT DEBUG,SHOW SLOW CSS,TRACE HTML,SQL,medium,sql_security_perf,Web Dev & IA Quiz
