question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,source
En quelle année le jeu « Overwatch » a-t-il été révélé ?,2014,2015,2011,2008,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel est le nom du protagoniste principal de la franchise « Legend of Zelda » ?,Lien,Mario,Zelda,Fosse,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans le film d'animation de 2012 « Les Enfants Loups », quels sont les noms des enfants loups ?",Ame et Yuki,Hana et Yuki,Ame et Hana,Chuck et Anna,Divertissement : Anime et manga japonais,easy,Open Trivia DB
Combien d'albums King Gizzard & the Lizard Wizard a-t-il sortis en 2017 ?,5,3,6,2,Divertissement : Musique,easy,Open Trivia DB
"Satella dans ""Re:Zero"" est la sorcière de quoi ?",Envie,Fierté,Paresseux,Colère,Divertissement : Anime et manga japonais,easy,Open Trivia DB
"Ce film contient la citation : « Houston, nous avons un problème. »",Apollo 13,Les bonnes choses,Capricorne Un,Naufragé,Divertissement : Film,easy,Open Trivia DB
« Grande Valse » est une expression tirée de la chanson « Gran Vals ». Comment s'appelle ce passage de la chanson ?,Nokia Tune,Bonjour Moto [Sonnerie Motorola],Sonnerie Droid,Sonnerie Microsoft,Divertissement : Musique,easy,Open Trivia DB
"Dans ""Undertale"", combien y a-t-il de fins principales ?",3,2,5,13,Divertissement : Jeux vidéo,easy,Open Trivia DB
La pièce de 1 dollar canadien est familièrement appelée comment ?,Loonie,Boolie,Fou,Moodie,Connaissances générales,easy,Open Trivia DB
Quelle était la race du chien de Marley dans le film « Marley & Moi » (2008) ?,Labrador Retriever,Golden Retriever,dalmatien,Shiba Inu,Divertissement : Film,easy,Open Trivia DB
Quelle est la langue officielle du Brésil ?,portugais,brésilien,Espagnol,Anglais,Connaissances générales,easy,Open Trivia DB
Quel est le titre de la chanson du menu principal de Halo ?,Halo,Suite d'ouverture,Ombres,Suite Automne,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans le jeu Half-Life, quel ennemi est présenté comme le boss final ?",Le Nihilanth,Dr Wallace Breen,G-Man,Le Gonarch,Divertissement : Jeux vidéo,easy,Open Trivia DB
Qu'est-ce que le Laos ?,Pays,Région,Rivière,Ville,Géographie,easy,Open Trivia DB
"Qui jouait le rôle de la serveuse dans le sketch du spam de ""Monty Python's Flying Circus"" ?",Terry Jones,Éric Idle,Graham Chapman,John Cleese,Divertissement : Télévision,easy,Open Trivia DB
Que signifient les lettres du fuseau horaire GMT ?,Heure de Greenwich,Heure du méridien global,Temps médian général,Glasgow Man Time,Connaissances générales,easy,Open Trivia DB
"Dans « Yo! Noid 2 », quel coup spécial le Noid peut-il effectuer ?",Touche,Lancer de pizza,Esquive en roulade,Spin Dash,Divertissement : Jeux vidéo,easy,Open Trivia DB
Qui était l'ange gardien de Donkey Kong lorsqu'il est mort dans l'épisode « La vie est belle » de la série « Donkey Kong Country » ?,Eddie le méchant vieux yéti,Kiddy Kong,Diddy Kong,Roi K. Rool,Divertissement : Télévision,easy,Open Trivia DB
Dans quelle ville se trouve l'université Harvard ?,Cambridge,Providence,New York,Washington D.C.,Géographie,easy,Open Trivia DB
En quelle année le jeu Team Fortress 2 est-il sorti ?,2007,2009,2005,2010,Divertissement : Jeux vidéo,easy,Open Trivia DB
Qu'est-ce que la Tasmanie ?,Un État australien,Une saveur de glace Ben & Jerry's,Un trouble psychologique,Le nom d'un personnage de dessin animé Warner Bros.,Connaissances générales,easy,Open Trivia DB
Quel pays a accueilli les Jeux olympiques d'été de 2020 ?,Japon,Chine,Australie,Allemagne,Sportif,easy,Open Trivia DB
Lequel de ces personnages n'est PAS un combattant jouable dans Super Smash Bros. Ultimate ?,Kumatora,Roi K. Rool,Incinéroar,Corrin,Divertissement : Jeux vidéo,easy,Open Trivia DB
De quelle mythologie est issu le dieu « Apollon » ?,Grec et romain,Romain et espagnol,Grec et chinois,"Grec, romain et nordique",Mythologie,easy,Open Trivia DB
Comment les marins appellent-ils l'avant d'un bateau ?,Arc,Arrière,Port,Tribord,Connaissances générales,easy,Open Trivia DB
Quel restaurant a pour mascotte un clown ?,McDonald's,Whataburger,Burger King,Sonique,Connaissances générales,easy,Open Trivia DB
Quelle est la formule de l'aire d'une sphère ?,(4/3)πr^3,4πr^2,(1/3)πhr^2,πr^4,Sciences : Mathématiques,easy,Open Trivia DB
Dans quel sport utilise-t-on un « volant » ?,Badminton,Tennis de table,Rugby,Cricket,Sportif,easy,Open Trivia DB
Que signifie le F dans FBI ?,Fédéral,Étranger,Officiel,D'abord,Connaissances générales,easy,Open Trivia DB
Quel est le vrai nom de Grumpy Cat ?,Sauce Tardar,Sauce,Minnie,Brocoli,Animaux,easy,Open Trivia DB
Quand est sorti Pong ?,29 novembre 1972,29 mars 2017,29 novembre 1970,14 décembre 1974,Connaissances générales,easy,Open Trivia DB
"Dans le film « Une nuit dans les bois », où travaille Gregg ?",Snack Falcon,Vieille pioche,Avant-poste vidéo « Aussi »,Nourriture pour âne,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans Black Hammer, quelle ville les héros ont-ils sauvée de l'Anti-Dieu ?",Cité en spirale,Méga-Cité Un,Bois de Rocher,Star City,Divertissement : Bandes dessinées,easy,Open Trivia DB
Qui a connu un succès dans le top 5 en 1969 avec la chanson « A Boy Named Sue » ?,Johnny Cash,Bob Dylan,Willie Nelson,Kris Kristofferson,Divertissement : Musique,easy,Open Trivia DB
Quand le DVD a-t-il été inventé ?,1995,2000,1990,1980,Science : Gadgets,easy,Open Trivia DB
Quelle carte de « Call of Duty : Zombies » a introduit les « Bâtons des Anciens » ?,Origines,Shangri-La,Révélations,Nuketown,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel est le nombre minimal de côtés d'un polygone ?,3,1,2,7,Sciences : Mathématiques,easy,Open Trivia DB
"Aux échecs, quelle est une caractéristique du Gambit du Roi ?",Sacrifier un pion,Sacrifier le roi pour une reine,Roque côté roi,Déplacer le roi au 2ème coup,Divertissement : Jeux de société,easy,Open Trivia DB
Quel pays revendique la souveraineté sur l'Antarctique ?,"Personne, mais il y a des allégations.",les états-unis d'Amérique,Les Nations Unies,Australie,Géographie,easy,Open Trivia DB
Quelle est la planète la plus chaude du système solaire ?,Vénus,Jupiter,Mercure,Mars,Science et nature,easy,Open Trivia DB
Les wombats sont originaires de quel pays ?,Australie,Nouvelle-Zélande,Papouasie-Nouvelle-Guinée,Palau,Animaux,easy,Open Trivia DB
Qui a créé Garry's Mod ?,Garry Newman,Randy Newman,Studios Facepunch,Gabe Newell,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Dans le jeu « Overwatch », quels sont les noms des deux criminels australiens de la faction des Junkers ?",Junkrat et Roadhog,Roadrat et Junkhog,Ana et Pharah,McCree et Deadeye,Divertissement : Jeux vidéo,easy,Open Trivia DB
Lequel des pays africains suivants a le mieux réussi à résister à la colonisation ?,Ethiopie,Côte d’Ivoire,Congo,Namibie,Histoire,easy,Open Trivia DB
"League of Legends, DOTA 2, Smite et Heroes of the Storm appartiennent à quel genre de jeu ?",Arène de bataille en ligne multijoueur (MOBA),Stratégie en temps réel (STR),Jeu de tir à la première personne (FPS),Jeu de rôle (RPG),Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel animal représente le logo du constructeur automobile italien Lamborghini ?,Taureau,Batte,Cheval,Serpent,Véhicules,easy,Open Trivia DB
Combien de bits contient généralement un seul octet ?,Huit bits,Six bits,Douze morceaux,Quinze bits,Sciences : Informatique,easy,Open Trivia DB
"Dans Kingdom Hearts, combien de membres compte l'Organisation XIII au total ?",14,10,13,12,Divertissement : Jeux vidéo,easy,Open Trivia DB
Qui a réalisé les films Kill Bill ?,Quentin Tarantino,Arnold Schwarzenegger,David Lean,Stanley Kubrick,Divertissement : Film,easy,Open Trivia DB
Qui interprète Alice dans les films Resident Evil ?,Milla Jovovich,Madison Derpe,Milla Johnson,Kim Demp,Divertissement : Film,easy,Open Trivia DB
La principale différence entre une cellule eucaryote et une cellule procaryote est :,La présence ou l'absence d'un noyau,La taille globale,La présence ou l'absence de certains organites,Le mode de reproduction,Science et nature,easy,Open Trivia DB
Les restes enfouis de quel explorateur anglais de l'Australie ont été découverts à Londres en janvier 2019 ?,Matthieu Flinders,William Bourke,Abel Tasman,Dirk Hartog,Connaissances générales,easy,Open Trivia DB
Quelles créatures mythologiques ont un visage de femme et un corps de vautour ?,Harpies,sirènes,Nymphe,Lilith,Mythologie,easy,Open Trivia DB
Que signifie l'inscription IWHBYD sur le crâne dans la série Halo ?,J'aurais été ton papa,"Je veux avoir des bébés, tu es là ?",Je détesterais être votre chauffeur,J'aurais acheté votre chien,Divertissement : Jeux vidéo,easy,Open Trivia DB
Comment appelle-t-on un bébé chauve-souris ?,Chiot,Petit,Poussin,Enfant,Animaux,easy,Open Trivia DB
La trypophobie est la peur de,groupes de trous,nager en eau profonde,art oratoire,manger trop,Connaissances générales,easy,Open Trivia DB
"Quand on est « envieux », on dit qu'on est de quelle couleur ?",Vert,Rouge,Bleu,Jaune,Connaissances générales,easy,Open Trivia DB
Quel a été l'album le plus vendu en 2015 ?,"Adèle, 25 ans","Fetty Wap, Fetty Wap","Taylor Swift, 1989","Justin Bieber, Objectif",Divertissement : Musique,easy,Open Trivia DB
Quel pays moderne est surnommé « le cimetière des empires » ?,Afghanistan,Chine,Irak,Russie,Histoire,easy,Open Trivia DB
Quand ont lieu les Ides de Mars ?,15 mars,14 mars,31 mars,1er mars,Histoire,easy,Open Trivia DB
"Dans la série « Rick et Morty », dans l'épisode « Total Rickall », qui était un parasite ?",Pencilvester,Beth Smith,Summer Smith,Monsieur Trou du cul caca,Divertissement : Télévision,easy,Open Trivia DB
Dans quel livre de Harry Potter apparaît-on pour la première fois un Horcruxe ?,La Chambre des Secrets,Le Prince de Sang-Mêlé,La Coupe de Feu,Les Reliques de la Mort,Divertissement : Livres,easy,Open Trivia DB
"Dans le jeu Warframe, comment s'appelle le robot bipède de la faction Corpus ?",MOA,Corpus Tech,Membre d'équipage,Marcheur du corps,Divertissement : Jeux vidéo,easy,Open Trivia DB
Qui est la star de la série Breaking Bad diffusée sur AMC ?,Walter White,Saul Goodman,Jesse Pinkman,Skyler White,Divertissement : Télévision,easy,Open Trivia DB
"Dans le dessin animé « Bob l'éponge », que signifiait l'acronyme E.V.I.L. ?",Chaque méchant est un citron,Chaque méchant est une limonade,Chaque méchant est un citron vert,Chaque méchant est une limonade,Divertissement : Télévision,easy,Open Trivia DB
En quelle année Hearthstone est-il sorti ?,2014,2011,2013,2012,Divertissement : Jeux vidéo,easy,Open Trivia DB
La « Piste des Larmes » est une conséquence de la politique de déplacement forcé des Indiens menée par quel président des États-Unis ?,Andrew Jackson,Harry S. Truman,Martin Van Buren,John Quincy Adams,Histoire,easy,Open Trivia DB
Quel est le nom de famille d'un des professeurs de la série de la BBC « Postman Pat » ?,Pringles,Marcheur,Dorito,Lays,Divertissement : Dessins animés et animation,easy,Open Trivia DB
Quelle équipe de la NFL joue pour la Nouvelle-Angleterre ?,Patriotes,Chefs,Dauphins,49ers,Sportif,easy,Open Trivia DB
"Sting, le chanteur principal du groupe The Police, joue principalement de quel instrument ?",Basse,Batterie,Guitare,Claviers,Divertissement : Musique,easy,Open Trivia DB
Combien de planètes compte notre système solaire ?,Huit,Neuf,Sept,Dix,Science et nature,easy,Open Trivia DB
"Quel pays a produit des footballeurs tels que Cafu, Roberto Carlos et Pelé ?",Brésil,Argentine,Portugal,Espagne,Sportif,easy,Open Trivia DB
Dans quelle ville indienne se trouve le Taj Mahal ?,Agra,Mumbai,Faridabad,Thane,Géographie,easy,Open Trivia DB
Quelle équipe a remporté la Coupe du Monde de la FIFA 2014 au Brésil ?,Allemagne,Argentine,Brésil,Pays-Bas,Sportif,easy,Open Trivia DB
"Dans World of Warcraft, quel était le nom du sort qui a provoqué une épidémie ayant tristement tué des millions de joueurs en 2005 ?",Sang corrompu,peste nécrotique,Infestation débridée,Infection mutée,Divertissement : Jeux vidéo,easy,Open Trivia DB
"En chiffres romains, à quoi correspond XL ?",40,60,15,90,Sciences : Mathématiques,easy,Open Trivia DB
Quels albums contenaient les titres « Back in Black » et « Ballbreaker » ?,CA/CC,Iron Maiden,Sabbat noir,Metallica,Divertissement : Musique,easy,Open Trivia DB
Le préfixe métrique « atto- » rend une mesure combien plus petite que l'unité de base ?,Un quintillionième,Un milliardième,Un quadrillionième,Un septillionième,Sciences : Mathématiques,easy,Open Trivia DB
Lequel des instruments de musique suivants ne fait PAS partie de la section des bois ?,Trompette,Clarinette,Hautbois,Saxophone alto,Divertissement : Musique,easy,Open Trivia DB
À qui appartenait le slogan de campagne présidentielle de 2016 : « Rendre sa grandeur à l’Amérique » ?,Donald Trump,Ted Cruz,Marco Rubio,Bernie Sanders,Politique,easy,Open Trivia DB
Laquelle de ces régions africaines n'est *pas* directement limitrophe de la République démocratique du Congo ?,Soudan,République centrafricaine,Tanzanie,Zambie,Géographie,easy,Open Trivia DB
Dans quel jeu dérivé de Mario Waluigi a-t-il fait ses débuts ?,Mario Tennis,Mario Party 3,Mario Kart : Double Dash !!,Mario Golf : Tournée Toadstool,Divertissement : Jeux vidéo,easy,Open Trivia DB
"En matière de réseaux, que signifie OSPF ?",Ouvrir d'abord le chemin le plus court,Commandez d'abord l'état de la partie,Trouver un ping de sens de l'ordre,Ouvrir le chercheur de chemin de signal,Sciences : Informatique,easy,Open Trivia DB
Qui a reçu le titre de « Full Metal » dans la série animée « Full Metal Alchemist » ?,Edward Elric,Alphonse Elric,Van Hohenheim,Izumi Curtis,Divertissement : Anime et manga japonais,easy,Open Trivia DB
Quel personnage de la mythologie grecque s'est rendu aux enfers pour ramener son épouse Eurydice au monde des vivants ?,Orphée,Hercule,Persée,Dédale,Mythologie,easy,Open Trivia DB
"Dans la franchise de jeux vidéo « Halo », quel est le nom de la principale faction opposée à l'UNSC ?",L'Alliance,Le règlement de comptes,Les peuples,Les abatteurs,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel est le nom de la ville où se déroule l'histoire des Pierrafeu ?,Base,Stoneville,Rockhampton,Boulder City,Divertissement : Dessins animés et animation,easy,Open Trivia DB
Le terme « batterie » pour décrire un dispositif de stockage d'énergie électrique a été inventé par qui ?,Benjamin Franklin,Nikola Tesla,Luigi Galvani,Alessandro Volta,Science : Gadgets,easy,Open Trivia DB
En quelle année le pistolet M1911 a-t-il été conçu ?,1911,1907,1899,1917,Histoire,easy,Open Trivia DB
En quelle année le jeu Dishonored est-il sorti ?,2012,2011,2008,2013,Divertissement : Jeux vidéo,easy,Open Trivia DB
Combien de livres Harry Potter existe-t-il ?,7,8,5,6,Divertissement : Livres,easy,Open Trivia DB
Quelle équipe a remporté le championnat d'Angleterre de Premier League 2015-2016 ?,Leicester City,Liverpool,Chelsea,Manchester United,Sportif,easy,Open Trivia DB
Quelle est la capitale de l'Espagne ?,Madrid,Paris,Barcelone,Lisbonne,Connaissances générales,easy,Open Trivia DB
"Dans My Little Pony, quel est le nom de la petite sœur d'Applejack ?",Apple Bloom,Red Delicious,Bonbons aux pommes,Beignet aux pommes,Divertissement : Dessins animés et animation,easy,Open Trivia DB
Quand la PlayStation 3 est-elle sortie ?,11 novembre 2006,8 janvier 2007,25 décembre 2007,16 juillet 2006,Connaissances générales,easy,Open Trivia DB
Quelle race de Guild Wars 2 croit en l'Alchimie Éternelle ?,Asura,Humains,Norn,Charr,Divertissement : Jeux vidéo,easy,Open Trivia DB
Lequel des jeux de cartes suivants est basé sur les nombres et les mathématiques de base ?,Uno,Go Fish,Tornade,Munchkin,Connaissances générales,easy,Open Trivia DB
Quel langage utilise Node.js ?,JavaScript,Java,Source Java,Code source de Joomla,Sciences : Informatique,easy,Open Trivia DB
Quel est le plus grand pays du monde ?,Russie,Canada,Chine,États-Unis,Géographie,easy,Open Trivia DB
"Dans le film « Seul au monde », le meilleur ami du protagoniste principal sur l'île s'appelle",Wilson,Carson,Jackson,Willy,Divertissement : Film,easy,Open Trivia DB
Qui est la véritable princesse de la lune dans Sailor Moon ?,Sailor Moon,Sailor Venus,Sailor Mars,Sailor Jupiter,Divertissement : Anime et manga japonais,easy,Open Trivia DB
De quelle couleur est la moitié de la lame-ciseaux de Ryūko Matoi dans l'anime Kill la Kill ?,Rouge,Vert,Bleu,Violet,Divertissement : Anime et manga japonais,easy,Open Trivia DB
Laquelle des propositions suivantes ne correspond pas au nom d'une « James Bond Girl » ?,Vanessa Kensington,Pam Bouvier,Marie Bonne nuit,Wai Lin,Divertissement : Film,easy,Open Trivia DB
Quand la série télévisée Rick et Morty a-t-elle été diffusée pour la première fois sur Adult Swim ?,2013,2014,2016,2015,Divertissement : Télévision,easy,Open Trivia DB
Quel pays a développé le fusil d'assaut AK-47 ?,Union soviétique,L'Iran,Israël,Pologne,Connaissances générales,easy,Open Trivia DB
Quel maréchal allemand était surnommé le « Renard du désert » ?,Erwin Rommel,Ernst Busch,Wolfram Freiherr von Richthofen,Liste de Guillaume,Histoire,easy,Open Trivia DB
Qui a incarné Thanos dans Avengers : Infinity War et Avengers : Endgame ?,Josh Brolin,Tom Hiddleston,Adam Sandler,Sean Gunn,Divertissement : Film,easy,Open Trivia DB
Combien de côtés possède un heptagone ?,7,5,4,9,Sciences : Mathématiques,easy,Open Trivia DB
Laquelle des îles japonaises suivantes est la plus grande ?,Honshū,Hokkaidō,Shikoku,Kyūshū,Géographie,easy,Open Trivia DB
Quel acteur interprète « Walter White » dans la série « Breaking Bad » ?,Bryan Cranston,André Lincoln,Aaron Paul,RJ Mitte,Divertissement : Télévision,easy,Open Trivia DB
"Dans « One Piece », de quelle couleur est le nez de Tony Tony Chopper ?",Bleu,Noir,Gris,Rouge,Divertissement : Anime et manga japonais,easy,Open Trivia DB
"Dans la série animée Disney de 1993 « Bonkers », quel est le nom du deuxième partenaire de Bonkers ?",Miranda Wright,Dick Tracy,Eddie Valiant,Dr Ludwig von Drake,Divertissement : Dessins animés et animation,easy,Open Trivia DB
La marque de vêtements et de chaussures Nike tire son nom de la déesse grecque de quoi ?,Victoire,Courage,Force,Honneur,Mythologie,easy,Open Trivia DB
Qui est le chef de la Team Instinct dans Pokémon Go ?,Étincelle,Candela,Blanche,Saule,Divertissement : Jeux vidéo,easy,Open Trivia DB
Qui est l'auteur de Jurassic Park ?,Michael Crichton,Peter Benchley,Chuck Paluhniuk,Irvine Gallois,Connaissances générales,easy,Open Trivia DB
Quel fabricant de pneus est célèbre pour sa gamme « P Zero » ?,Pirelli,Goodyear,Bridgestone,Michelin,Véhicules,easy,Open Trivia DB
Quel est l'os le plus long du corps humain ?,Fémur,Omoplate,Fibule,Cubitus,Science et nature,easy,Open Trivia DB
Quel est le titre du premier livre de Sherlock Holmes écrit par Arthur Conan Doyle ?,Une étude en rouge,Le Signe des Quatre,Une affaire d'identité,Les agissements de Raffles Haw,Divertissement : Livres,easy,Open Trivia DB
Quel est le nom du personnage principal de la série télévisée « The Flash » ?,Barry Allen,Oliver Queen,Bart Allen,Bruce Wayne,Divertissement : Télévision,easy,Open Trivia DB
"Que vient-il après un million, un milliard et un billion ?",Quadrillion,Sextillions,Quintillion,Septillion,Sciences : Mathématiques,easy,Open Trivia DB
Quel est le nom de la planète d'où vient le Docteur de la série télévisée « Doctor Who » ?,Gallifrey,Sontar,Skaro,Mondas,Divertissement : Télévision,easy,Open Trivia DB
"Dans la série Stranger Things, quel est le petit-déjeuner préféré d'Eleven ?",Gaufres Eggo,Griller,Capitaine Crunch,Bacon et œufs,Divertissement : Télévision,easy,Open Trivia DB
Qui a créé le jeu vidéo « Minecraft » sorti en 2011 ?,Markus Persson,Jens Bergensten,Daniel Rosenfeld,Carl Manneh,Divertissement : Jeux vidéo,easy,Open Trivia DB
Hippocampus est le nom latin de quelle créature marine ?,Hippocampe,Dauphin,Baleine,Pieuvre,Animaux,easy,Open Trivia DB
"David Tennant, la star de ""Doctor Who"", a joué dans quelle adaptation d'une pièce de Shakespeare ?",Hamlet,La Tempête,Othello,La Mégère apprivoisée,Divertissement : Comédies musicales et théâtres,easy,Open Trivia DB
Combien d'albums studio le duo Daft Punk a-t-il sortis ?,4,1,5,2,Divertissement : Musique,easy,Open Trivia DB
Comment s'appelle un polygone à neuf côtés ?,Nonagone,Hexagone,Octogone,Heptagone,Sciences : Mathématiques,easy,Open Trivia DB
Quel âge avait Adolf Hitler à sa mort ?,56,43,65,47,Histoire,easy,Open Trivia DB
Qui joue Toad dans le film Super Mario Bros. (2023) ?,Clé Keegan-Michael,Seth Rogan,Charlie Day,Jack Black,Divertissement : Film,easy,Open Trivia DB
Que signifie LTS sur le marché des logiciels ?,Soutien à long terme,Service de tacos longs,Vitesse de transfert absurde,Vitesse turbo absurde,Sciences : Informatique,easy,Open Trivia DB
Quelle est la capitale des États-Unis ?,"Washington, D.C.","Los Angeles, Californie","New York, NY","Houston, Texas",Géographie,easy,Open Trivia DB
"Dans l'univers de la série PAYDAY, quel criminel a été arrêté puis secouru par le gang PAYDAY ?",Hoxton,Dallas,Loup,Chaînes,Divertissement : Jeux vidéo,easy,Open Trivia DB
Dans quel pays la Trabant 601 a-t-elle été fabriquée ?,Allemagne de l'Est,Union soviétique,Hongrie,France,Véhicules,easy,Open Trivia DB
"Dans « Phoenix Wright : Ace Attorney », quel personnage est le chef de la police du district ?",Damon Gant,Miles Edgeworth,Lana Skye,Mike Meekins,Divertissement : Jeux vidéo,easy,Open Trivia DB
"Quel était le nom de la jeune sorcière interprétée par Melisa Joan Hart, qui vit avec ses tantes sorcières Hilda et Zelda ?",Sabrina,Hermione,Dorothy,Dahlia,Divertissement : Télévision,easy,Open Trivia DB
Le Guyana se trouve sur quel continent ?,Amérique du Sud,Afrique,Amérique du Nord,Asie,Géographie,easy,Open Trivia DB
"Dans « ALF », quel était le vrai nom d'ALF ?",Gordon Shumway,Gordon Milipp,Gordon Foster,Gordon von Gam,Divertissement : Film,easy,Open Trivia DB
Quel est le symbole astrologique des Gémeaux ?,Jumeaux,Poisson,Balance,Jeune fille,Connaissances générales,easy,Open Trivia DB
Quand Google a-t-il été fondé ?,4 septembre 1998,9 octobre 1997,12 décembre 1989,7 février 2000,Histoire,easy,Open Trivia DB
"Dans le jeu « DELTARUNE », quel est le pouvoir spécial de Ralsei ?",Pacifier,Persuader,Éliminer,Câlin,Divertissement : Jeux vidéo,easy,Open Trivia DB
Le terme médical désignant le nombril est lequel des suivants ?,Ombilic,nævus,Nares,Paxille,Science et nature,easy,Open Trivia DB
Quel boxeur a été suspendu pour avoir mordu l'oreille d'Evander Holyfield en 1997 ?,Mike Tyson,Roy Jones Jr.,Evander Holyfield,Lennox Lewis,Sportif,easy,Open Trivia DB
À quelle classe d'animaux appartiennent les tritons ?,Amphibie,Poisson,Reptiles,Mammifères,Animaux,easy,Open Trivia DB
"Dans la franchise de jeux vidéo Kingdom Hearts, le protagoniste principal porte une arme de quelle forme ?",Clé,Épée,Stylo,téléphone portable,Connaissances générales,easy,Open Trivia DB
« Certains m'appellent le cowboy de l'espace » est le premier vers de quelle chanson ?,Le Joker,Fandango,Prenez l'argent et fuyez,Vole comme un aigle,Divertissement : Musique,easy,Open Trivia DB
"Dans le film de 1986 « The Wraith », quel concept-car est utilisé pour la Turbo Interceptor ?",Dodge M4S,Pontiac Banshee,General Motors Firebird,Dodge Copperhead,Divertissement : Film,easy,Open Trivia DB
Quel est le nom du frère de Chris dans « Tout le monde déteste Chris » ?,Drew,Jérôme,Greg,Joe,Divertissement : Télévision,easy,Open Trivia DB
Qui était le général confédéré pendant la guerre de Sécession américaine ?,Robert E. Lee,George A. Custer,Ulysses S. Grant,George B. McClellan,Histoire,easy,Open Trivia DB
Qui est le chanteur principal de Green Day ?,Billie Joe Armstrong,Mike Dirnt,Sean Hughes,Tré Cool,Divertissement : Musique,easy,Open Trivia DB
Combien de joueurs de football doivent se trouver sur le terrain en même temps ?,22,20,24,26,Sportif,easy,Open Trivia DB
Combien de côtés possède un trapèze ?,4,3,5,6,Sciences : Mathématiques,easy,Open Trivia DB
Quel est le premier élément du tableau périodique ?,Hydrogène,Hélium,Oxygène,Lithium,Science et nature,easy,Open Trivia DB
Jaguar Cars appartenait auparavant à quel constructeur automobile ?,Gué,Chrysler,General Motors,Décret,Véhicules,easy,Open Trivia DB
Qui a écrit le roman « Las Vegas Parano » ?,Hunter S. Thompson,F. Scott Fitzgerald,Henry Miller,William S. Burroughs,Divertissement : Livres,easy,Open Trivia DB
Combien de lunes possède Pluton ?,Cinq,Deux,Trois,Un,Science et nature,easy,Open Trivia DB
Lequel de ces niveaux n'apparaît PAS dans les versions console/PC du jeu « Sonic Generations » ?,Colline aux champignons,Évasion urbaine,Planète Wisp,Sanctuaire céleste,Divertissement : Jeux vidéo,easy,Open Trivia DB
Que signifie la lettre « S » dans « NASA » ?,Espace,Science,Société,Étoile,Science et nature,easy,Open Trivia DB
Lequel de ces pays ne faisait PAS partie des Puissances centrales pendant la Première Guerre mondiale ?,Espagne,Autriche-Hongrie,Turquie,Allemagne,Histoire,easy,Open Trivia DB
Lesquels de ces animaux ne sont pas réels ?,Lion de Némée,Dragon des mers,Diable de Tasmanie,Calmar géant,Animaux,easy,Open Trivia DB
La chanson « Give It Away » des Red Hot Chili Peppers est extraite de quel album ?,Magie sexuelle de la glycémie,Une minute chaude,D'ailleurs,Stade Arcadium,Divertissement : Musique,easy,Open Trivia DB
"Dans Star Trek : La Nouvelle Génération, quel est le nom du chat de Data ?",Place,Moufles,Tom,Minou,Divertissement : Télévision,easy,Open Trivia DB
« Hallelujah » est une chanson écrite par quel artiste canadien ?,Leonard Cohen,Kory Lefkowits,Ryan Letourneau,Justin Bieber,Divertissement : Musique,easy,Open Trivia DB
Quelle a été la cause du suicide de Marilyn Monroe ?,Surdose de drogue,Attaque au couteau,Incendie de maison,Coup de feu,célébrités,easy,Open Trivia DB
Quand est sorti le jeu « Portal 2 » ?,2011,2014,2009,2007,Divertissement : Jeux vidéo,easy,Open Trivia DB
Quel est le symbole élémentaire du mercure ?,Hg,Moi,Mc,Hy,Science et nature,easy,Open Trivia DB
Quel a été le premier film de James Bond ?,Docteur Non,Goldfinger,De Russie avec amour,Opération Tonnerre,Divertissement : Film,easy,Open Trivia DB
Ce film contient la citation : « J'ai besoin… besoin de vitesse ! »,Top Gun,Jours de tonnerre,La couleur de l'argent,Cocktail,Divertissement : Film,easy,Open Trivia DB
"En 1720, l'Angleterre était criblée de dettes et impliquée dans la bulle de la Compagnie des mers du Sud. Qui en était le principal instigateur ?",John Blunt,Daniel Defoe,Robert Harley,John Churchill,Histoire,easy,Open Trivia DB
Qui a écrit la comédie musicale primée « In The Heights » ?,Lin-Manuel Miranda,Steven Sondheim,Francis Scott Key,John Phillips Sousa,Divertissement : Comédies musicales et théâtres,easy,Open Trivia DB
"Dans « Lolita malgré moi », qui a des seins qui indiquent quand il pleut ?",Karen Smith,Gretchen Weiners,Janice Ian,Cady Heron,Divertissement : Film,easy,Open Trivia DB
Quand Marvel Comics a-t-elle été fondée ?,1939,1932,1951,1936,Divertissement : Bandes dessinées,easy,Open Trivia DB
Qui a réalisé le film « The Revenant » sorti en 2015 ?,Alejandro G. Iñárritu,Christopher Nolan,David Fincher,Wes Anderson,Divertissement : Film,easy,Open Trivia DB
"Dans quelle génération de Pokémon la « méthode Masuda », comme l'ont surnommée les fans, est-elle apparue pour la première fois ?",Diamant/Perle,Rubis/Saphir,Noir/Blanc,X/Y,Divertissement : Jeux vidéo,easy,Open Trivia DB
Combien de cordes y a-t-il sur un violoncelle ?,4,5,6,8,Divertissement : Musique,easy,Open Trivia DB
Qui est le principal antagoniste de la franchise Portal ?,GLaDOS,Chell,Wheatley,Meule,Divertissement : Jeux vidéo,easy,Open Trivia DB
